Epoch | Train Loss | Train Acc | Val Loss | Val Acc
  188 |     1.7429 |    0.8160 |   1.7420 |  0.7887
  189 |     1.7258 |    0.8271 |   1.7361 |  0.7871
  190 |     1.7303 |    0.8209 |   1.7439 |  0.7862
  191 |     1.7251 |    0.8232 |   1.7459 |  0.7846
  192 |     1.7355 |    0.8187 |   1.7330 |  0.7887
  193 |     1.7361 |    0.8232 |   1.7344 |  0.7895
  194 |     1.7340 |    0.8241 |   1.7419 |  0.7854
  195 |     1.7288 |    0.8249 |   1.7280 |  0.7879
  196 |     1.7176 |    0.8293 |   1.7332 |  0.7936
  197 |     1.7307 |    0.8194 |   1.7413 |  0.7854
  198 |     1.7401 |    0.8173 |   1.7303 |  0.7887
  199 |     1.7362 |    0.8153 |   1.7246 |  0.7912
  200 |     1.7281 |    0.8220 |   1.7353 |  0.7854
  201 |     1.7221 |    0.8231 |   1.7306 |  0.7912
  202 |     1.7216 |    0.8242 |   1.7370 |  0.7871
  203 |     1.7149 |    0.8255 |   1.7369 |  0.7879
  204 |     1.7159 |    0.8257 |   1.7332 |  0.7879
